序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
11	2021/5/28 11:03:14	275秒	微信	N/A	223.104.188.113(山东-临沂)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影┋其他	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋考试考证┋就业压力┋其他	一般	偶尔	经常	很少	参加户外活动转移注意力┋其他	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询┋其他	如何和他人交往	压力的疏解   我希望学校可以开设这门课程
12	2021/5/28 11:03:58	105秒	微信	N/A	112.224.135.230(山东-烟台)	女	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	比较少	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	很少	经常	经常	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询	如何处理学习和工作	加油
13	2021/5/28 11:05:42	247秒	微信	N/A	27.128.16.24(河北-石家庄)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	没有	有时会	否	较为负面影响，会影响情绪	感情压力┋人际关系┋经济问题	很强	很少	经常	很少	找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动	如何和他人交往	无
14	2021/5/28 11:12:37	213秒	微信	N/A	123.183.169.39(河北-邢台)	女	必须重视	了解很少	浏览网页┋阅读书刊┋听讲座	有	经常会	是	正面影响，会为学习带来动力	学习压力┋考试考证	一般	偶尔	偶尔	很少	一个人生闷气	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	人生大事，应用心经营，从一而终	还没想过	会	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询┋其他	如何处理学习和工作	考证压力大
15	2021/5/28 11:18:16	132秒	手机提交	直接访问	182.97.217.8(江西-南昌)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	一般	偶尔	偶尔	很少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪┋其他	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应用心经营，从一而终	就业	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询┋其他	情绪调节	(空)
16	2021/5/28 12:56:50	87秒	微信	N/A	27.191.196.48(河北-唐山)	女	应该重视	了解很少	浏览网页┋跟朋友聊天时了解到┋其他	有	有时会	否	正面影响，会为学习带来动力	其他	一般	很少	经常	很少	参加户外活动转移注意力┋找人倾述┋其他	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询┋其他	如何和他人交往	无
1	2021/5/26 21:49:37	35秒	微信	N/A	223.104.103.184(河北-石家庄)	男	必须重视	了解很多	浏览网页	有	有时会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座	情绪调节	无
2	2021/5/26 21:51:13	42秒	微信	N/A	183.198.132.249(河北-石家庄)	男	必须重视	了解很多┋了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	经济问题	一般	偶尔	经常	经常	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	人生大事，应该用心经营，从一而终	考研	有所担忧	设立心理咨询室┋网络心理咨询	学习方法	无
3	2021/5/26 21:51:27	150秒	微信	N/A	106.114.157.229(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋就业压力	一般	很少	经常	较少	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	情绪调节	就业
4	2021/5/26 21:52:32	61秒	微信	N/A	27.128.17.163(河北-石家庄)	男	必须重视	了解很多	浏览网页┋跟朋友聊天时了解到┋听讲座	有	有时会	是	没感觉	人际关系	一般	很少	很少	有时	找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋网络心理咨询	如何和他人交往	(空)
5	2021/5/26 21:53:14	124秒	微信	N/A	27.128.27.133(河北-石家庄)	男	必须重视	了解一点	跟朋友聊天时了解到┋听讲座	有	有时会	是	较为负面影响，会影响情绪	学习压力┋考试考证	一般	很少	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情	非常鄙视自杀之人，枉费父母和社会的栽培	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	(空)
6	2021/5/26 21:53:31	80秒	微信	N/A	39.144.86.91(河北-邯郸)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋考试考证┋就业压力┋其他	一般	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪┋其他:	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他:	如何和他人交往	(空)
7	2021/5/26 21:53:56	122秒	微信	N/A	60.8.99.23(河北-张家口)	男	必须重视	了解很少	浏览网页┋看相关电影	有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证	一般	很少	很少	较少	参加户外活动转移注意力┋一个人生闷气	以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	就业	会	多举行心理讲座┋组织团体活动	如何处理学习和工作	(空)
8	2021/5/26 21:55:22	101秒	微信	N/A	111.61.86.146(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋考试考证┋就业压力┋其他	很强	经常	经常	有时	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室	如何处理学习和工作	没有
9	2021/5/26 21:58:01	118秒	微信	N/A	182.204.41.210(辽宁-铁岭)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	比较少	否	正面影响，会为学习带来动力	学习压力┋人际关系┋考试考证┋就业压力	很强	很少	经常	没有	参加户外活动转移注意力┋其他:	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他:	如何处理学习和工作	(空)
10	2021/5/26 21:58:04	98秒	微信	N/A	221.192.180.162(河北-秦皇岛)	女	应该重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	比较少	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	很少	经常	有时	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
11	2021/5/26 22:06:47	116秒	微信	N/A	221.192.179.73(河北-石家庄)	女	应该重视	了解一点	看相关电影	不知道	比较少	否	没感觉	人际关系┋考试考证┋就业压力	一般	偶尔	很少	没有	其他:	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋组织团体活动	学习方法	没
12	2021/5/26 22:24:03	111秒	微信	N/A	117.136.2.253(河北-保定)	男	必须重视	了解很少	浏览网页┋跟朋友聊天时了解到┋听讲座	没有	有时会	否	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	一般	没有	偶尔	有时	参加户外活动转移注意力┋一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	考公务员	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	学习方法	无
13	2021/5/27 0:11:54	48秒	微信	N/A	103.3.138.81(新疆-克拉玛依)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	偶尔	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座┋设立心理咨询室	情绪调节	(空)
1	2021/5/27 19:12:17	102秒	微信	N/A	221.192.238.8(河北-保定)	女	应该重视	了解一点	其他	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋其他	一般	偶尔	偶尔	没有	找人倾述┋其他：	以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	有所担忧	其他：	情绪调节	无
2	2021/5/27 19:36:11	179秒	微信	N/A	106.8.172.171(河北-承德)	女	必须重视	了解很多	浏览网页┋阅读书刊┋听讲座	有	有时会	是	较为负面影响，会影响情绪	学习压力┋考试考证┋就业压力	一般	很少	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考公务员	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	学习压力，通过运动来释放
3	2021/5/27 19:49:59	96秒	微信	N/A	223.104.13.61(河北-石家庄)	女	应该重视	了解一点	其他	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋就业压力	一般	偶尔	偶尔	有时	倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他：	如何处理学习和工作	(空)
4	2021/5/27 19:57:18	68秒	微信	N/A	117.136.2.185(河北-保定)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证	一般	很少	很少	有时	参加户外活动转移注意力┋一个人生闷气	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
